,Time,Type,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10,Zone11,Zone12,Zone13,Zone14,Zone15,Zone16,Zone17,Zone18,Zone19,Zone20,Zone21,Zone22,Zone23,Zone24,Zone25
0,1,Tuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,Salmon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,Clown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2,Tuna,0.0,0.0,0.0,-1.0,-2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0
1,2,Salmon,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0
2,2,Clown,3.0,3.0,-3.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0
0,3,Tuna,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,1.0,2.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
1,3,Salmon,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0
2,3,Clown,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0
0,4,Tuna,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0
1,4,Salmon,-1.0,-1.0,1.0,0.0,0.0,-2.0,0.0,1.0,-1.0,0.0,1.0,1.0,-2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,0.0,2.0,-1.0
2,4,Clown,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0
0,5,Tuna,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0
1,5,Salmon,-1.0,-1.0,1.0,0.0,-1.0,-3.0,0.0,1.0,-1.0,1.0,2.0,1.0,-3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,-2.0,1.0,0.0,2.0,-1.0
2,5,Clown,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0
0,6,Tuna,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,0.0
1,6,Salmon,-1.0,-2.0,1.0,0.0,-1.0,-2.0,-1.0,2.0,-1.0,1.0,2.0,1.0,-3.0,1.0,0.0,-1.0,0.0,0.0,2.0,2.0,-1.0,1.0,0.0,1.0,-1.0
2,6,Clown,3.0,3.0,3.0,0.0,0.0,0.0,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,-3.0,-3.0,0.0,-3.0,0.0,0.0,0.0
